An exponentially decaying sine wave on a constant background
x, y1, y2, y3, y4, y5, y6
 20.0, 1.42, 1.46, 1.07, 1.46, 1.32, 1.06
 20.7, 1.85, 1.98, 2.19, 2.19, 1.79, 2.20
 21.5, 2.53, 2.30, 2.45, 2.12, 2.26, 2.51
 22.2, 2.38, 2.46, 2.31, 2.00, 2.41, 2.45
 23.0, 1.86, 1.90, 1.90, 1.72, 1.85, 1.61
 23.7, 1.15, 0.82, 0.94, 0.82, 0.85, 1.21
 24.5, 0.32, 0.13, 0.44,-0.01, 0.19, 0.16
 25.2,-0.40,-0.39,-0.69,-0.54,-0.56,-0.46
 26.0,-0.96,-0.94,-1.17,-0.97,-0.99,-1.23
 26.7,-1.45,-1.26,-1.03,-1.34,-1.21,-1.40
 27.4,-0.97,-1.22,-1.09,-0.99,-0.90,-0.86
 28.2,-0.60,-0.80,-0.80,-0.74,-0.45,-0.75
 28.9, 0.20,-0.09, 0.26,-0.03,-0.11,-0.08
 29.7, 0.81, 0.74, 0.68, 0.92, 0.80, 0.78
 30.4, 1.57, 1.25, 1.49, 1.49, 1.30, 1.39
 31.2, 1.53, 1.52, 1.75, 1.88, 1.96, 1.55
 31.9, 1.85, 1.80, 1.57, 1.74, 1.65, 1.96
 32.7, 1.50, 1.61, 1.43, 1.64, 1.48, 1.67
 33.4, 1.22, 1.25, 1.10, 0.92, 0.99, 1.34
 34.1, 0.36, 0.69, 0.55, 0.78, 0.32, 0.50
 34.9,-0.27, 0.16,-0.32, 0.07, 0.09, 0.12
 35.6,-0.75,-0.59,-0.66,-0.39,-0.58,-0.34
 36.4,-0.96,-0.92,-0.98,-0.98,-0.61,-0.76
 37.1,-0.76,-0.97,-0.61,-0.73,-0.86,-0.78
 37.9,-0.58,-0.74,-0.66,-0.72,-0.69,-0.66
 38.6,-0.13,-0.31, 0.11, 0.14,-0.09,-0.09
 39.4, 0.36, 0.64, 0.37, 0.25, 0.58, 0.38
 40.1, 0.81, 0.89, 0.73, 0.75, 1.16, 1.16
 40.9, 1.33, 1.08, 1.16, 1.22, 1.46, 1.05
 41.6, 1.45, 1.45, 1.45, 1.45, 1.45, 1.45
