An exponentially decaying sine wave on a constant background
data set 1
x_data	y_data
 20.0	  1.42
 20.7	  1.85
 21.5	  2.53
 22.2	  2.38
 23.0	  1.86
 23.7	  1.15
 24.5	  0.32
 25.2	 -0.40
 26.0	 -0.96
 26.7	 -1.45
 27.4	 -0.97
 28.2	 -0.60
 28.9	  0.20
 29.7	  0.81
 30.4	  1.57
 31.2	  1.53
 31.9	  1.85
 32.7	  1.50
 33.4	  1.22
 34.1	  0.36
 34.9	 -0.27
 35.6	 -0.75
 36.4	 -0.96
 37.1	 -0.76
 37.9	 -0.58
 38.6	 -0.13
 39.4	  0.36
 40.1	  0.81
 40.9	  1.33
 41.6	  1.45
 42.3	  1.40
 43.1	  1.04
 43.8	  0.69
 44.6	  0.40
 45.3	 -0.24
 46.1	 -0.58
 46.8	 -0.65
 47.6	 -0.43
 48.3	 -0.11
 49.0	  0.12
 49.8	  0.44
 50.5	  0.96
 51.3	  1.16
 52.0	  1.10
 52.8	  0.83
 53.5	  0.56
 54.3	  0.62
 55.0	  0.10
 55.7	  0.01
 56.5	 -0.27
 57.2	 -0.46
 58.0	  0.08
 58.7	  0.41
 59.5	  0.26
 60.2	  0.51
 61.0	  0.81
 61.7	  0.92
 62.4	  0.70
 63.2	  0.72
 63.9	  0.62
 64.7	  0.04
 65.4	  0.04
 66.2	 -0.22
 66.9	 -0.15
 67.7	 -0.02
 68.4	  0.35
 69.1	  0.32
 69.9	  0.61
 70.6	  0.51
 71.4	  0.93
 72.1	  0.96
 72.9	  0.70
 73.6	  0.57
 74.4	  0.48
 75.1	  0.13
 75.9	  0.09
 76.6	 -0.06
 77.3	  0.04
 78.1	  0.02
 78.8	  0.09
 79.6	  0.53
 80.3	  0.47
 81.1	  0.69
 81.8	  0.60
 82.6	  0.59
 83.3	  0.60
 84.0	  0.31
 84.8	  0.25
 85.5	  0.05
 86.3	  0.32
 87.0	  0.05
 87.8	  0.05
 88.5	  0.37
 89.3	  0.28
 90.0	  0.64
